"dB","frq"
-96.3739152817593,1.125
-84.0442900867519,2.25
-73.125354188581,3.375
-64.3063456427746,4.5
-58.0007708954542,5.625
-54.4074438353318,6.75
-52.7405381229594,7.875
-51.9872776395606,9
-51.399397377355,10.125
-50.9632525494793,11.25
-50.8151339238361,12.375
-50.8899546131177,13.5
-51.3680906281254,14.625
-52.4906060126014,15.75
-53.9592661170817,16.875
-55.4907617159791,18
-56.7929758617284,19.125
-57.5742840141017,20.25
-58.340884406072,21.375
-59.0999064101053,22.5
-59.8945102526837,23.625
-60.7151450255087,24.75
-61.5450981708695,25.875
-62.4369613661837,27
-63.3980973892992,28.125
-64.5493708409282,29.25
-65.5528406615182,30.375
-66.5316461366526,31.5
-67.5593622238801,32.625
-68.6619714185722,33.75
-69.8114963785866,34.875
-70.6897383763184,36
-71.5974018193742,37.125
-72.3128161260799,38.25
-73.0476555275867,39.375
-73.9096741931906,40.5
-74.6978048511797,41.625
-75.4517882571526,42.75
-76.0396541278029,43.875
-76.4690621090227,45
-76.9785398455516,46.125
-77.4784804028125,47.25
-77.9485151645609,48.375
-78.5543973253071,49.5
-79.2182296551611,50.625
-80.3599746040275,51.75
-81.4564314485906,52.875
-82.5652621364681,54
-84.0144173887746,55.125
-85.3861548231419,56.25
-86.5741963617483,57.375
-87.5894164474945,58.5
-87.5767082976387,59.625
-87.3205398908697,60.75
-87.2065460909923,61.875
-87.18053347286,63
-87.662256233031,64.125
-88.3746410694189,65.25
-89.2975403136037,66.375
-90.5328924984541,67.5
-91.4600855830271,68.625
-92.4685350364445,69.75
-93.5497229716543,70.875
-94.7156865747829,72
-95.4313412458438,73.125
-96.1200197227918,74.25
-96.7804808025025,75.375
-97.2555714920842,76.5
-97.5609071148413,77.625
-97.9686777586437,78.75
-98.3940127833054,79.875
-98.4506272510418,81
-98.7287879747213,82.125
-98.9102992560927,83.25
-99.3880574744983,84.375
-99.7330928049777,85.5
-100.051121569407,86.625
-100.156955534303,87.75
-100.270767044317,88.875
-100.472151023798,90
-100.684597656796,91.125
-100.667446038655,92.25
-100.725635271928,93.375
-101.089954472065,94.5
-101.192277744835,95.625
-101.395838167272,96.75
-101.763986281796,97.875
-101.644910983388,99
-101.765640301896,100.125
-102.24369139657,101.25
-102.469997575655,102.375
-102.687454505937,103.5
-102.541696795576,104.625
-102.534758666437,105.75
-102.628202068039,106.875
-103.156053636095,108
-103.275199396338,109.125
-103.480386751456,110.25
-103.918887174343,111.375
-103.950655888534,112.5
-103.75610553515,113.625
-103.535822701781,114.75
-103.751325168053,115.875
-103.578300306977,117
-103.681159730883,118.125
-103.592958303657,119.25
-103.47283079945,120.375
-103.654110506059,121.5
-104.100327725289,122.625
-103.998607861191,123.75
-103.831079226519,124.875
-103.758963621939,126
-104.038661807062,127.125
-104.255721238118,128.25
-104.195632932826,129.375
-104.135004974832,130.5
-104.164725671434,131.625
-104.055925542225,132.75
-104.508108834123,133.875
-104.384403388611,135
-104.301187990387,136.125
-104.472002887064,137.25
-104.554690694725,138.375
-104.286477802393,139.5
-104.457384745602,140.625
-104.549352596693,141.75
-104.479445093561,142.875
-104.355602574041,144
