"dB","frq"
-114.872808557938,1.125
-101.59499192791,2.25
-89.8646369164699,3.375
-78.2674440581634,4.5
-71.7523941176491,5.625
-72.8912095804948,6.75
-71.7192264212769,7.875
-67.1068222290389,9
-67.3140577395997,10.125
-72.9241133935141,11.25
-79.2470569842077,12.375
-82.2065297036165,13.5
-82.7692165679623,14.625
-88.0536240962358,15.75
-89.1470139799035,16.875
-91.0709636731755,18
-92.1775498648072,19.125
-91.5417465219193,20.25
-92.7994079265464,21.375
-92.9346554240435,22.5
-94.6300846292662,23.625
-96.0388816938435,24.75
-95.982793306504,25.875
-95.2060389432251,27
-95.4519949128492,28.125
-97.9097677456718,29.25
-96.4498642569319,30.375
-94.9523715773362,31.5
-95.4157911549463,32.625
-96.2872255321302,33.75
-95.995022234686,34.875
-97.016076693106,36
-95.6233168913843,37.125
-95.932358108314,38.25
-95.5208767647193,39.375
-97.0297533441477,40.5
-97.1744488438965,41.625
-95.3703071603562,42.75
-94.1239556711489,43.875
-94.9892937411609,45
-96.4923065109975,46.125
-96.2071518014958,47.25
-95.0294632548603,48.375
-98.764609360046,49.5
-96.2612601739342,50.625
-97.155890021418,51.75
-95.2729000397271,52.875
-96.8596641715852,54
-101.927739222951,55.125
-99.9826353160868,56.25
-100.625858946536,57.375
-101.468322243834,58.5
-100.505288935652,59.625
-100.916490992929,60.75
-101.448582075908,61.875
-99.3151114421112,63
-98.2288264593979,64.125
-100.898556835819,65.25
-101.958752208954,66.375
-101.399622302753,67.5
-101.522879148307,68.625
-103.264622331392,69.75
-104.076946329595,70.875
-105.32823613125,72
-104.596257190906,73.125
-107.448313415358,74.25
-106.794423607648,75.375
-104.781341860614,76.5
-106.47098207203,77.625
-106.233825559759,78.75
-107.044449830371,79.875
-108.507892995915,81
-106.973033213368,82.125
-107.025958877575,83.25
-109.20594054456,84.375
-108.785925085017,85.5
-110.826115715155,86.625
-109.990498602218,87.75
-108.538365546955,88.875
-109.875643013965,90
-111.289916821676,91.125
-112.553510593821,92.25
-111.60418766012,93.375
-109.515524418398,94.5
-109.966637565132,95.625
-110.787861943241,96.75
-110.615440489159,97.875
-110.840948289235,99
-111.023154576276,100.125
-111.042915497952,101.25
-110.573338874649,102.375
-110.263497407608,103.5
-113.127088993033,104.625
-113.291791803892,105.75
-112.263791295734,106.875
-111.307823966593,108
-111.136854468056,109.125
-111.052644138274,110.25
-112.957633482486,111.375
-115.151530110116,112.5
-114.04671615859,113.625
-112.209990262258,114.75
-112.488305758464,115.875
-112.522304201571,117
-112.49604196595,118.125
-112.756755501087,119.25
-113.221260810765,120.375
-113.4470227987,121.5
-113.135524189826,122.625
-113.466854404924,123.75
-113.063869226173,124.875
-113.476497981311,126
-113.902611426929,127.125
-114.290871715185,128.25
-112.81523194321,129.375
-113.163105967226,130.5
-113.914991879625,131.625
-115.628513209829,132.75
-115.755256813293,133.875
-114.27559603742,135
-114.611173562975,136.125
-115.559706719134,137.25
-115.833528129506,138.375
-115.146012343397,139.5
-113.770508497175,140.625
-114.266300462848,141.75
-113.631250199245,142.875
-115.10423307904,144
