deployment,call_type,original_detections,reviewed_truth_calls,true_positive,false_positive,false_negative
CalCurCEAS_001,Blue A,0,0,0,0,0
CalCurCEAS_001,Blue B,1,2,1,0,1
CalCurCEAS_001,Blue D,0,0,0,0,0
CalCurCEAS_001,Fin 20 Hz,36,25,23,13,2
CalCurCEAS_001,Fin 40 Hz,1,0,0,1,0
CalCurCEAS_001,Sei DS,2,0,0,2,0
CalCurCEAS_002,Blue A,0,0,0,0,0
CalCurCEAS_002,Blue B,0,0,0,0,0
CalCurCEAS_002,Blue D,0,0,0,0,0
CalCurCEAS_002,Fin 20 Hz,157,173,133,24,40
CalCurCEAS_002,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_002,Sei DS,2,4,2,0,2
CalCurCEAS_004,Blue A,0,0,0,0,0
CalCurCEAS_004,Blue B,0,1,0,0,1
CalCurCEAS_004,Blue D,0,0,0,0,0
CalCurCEAS_004,Fin 20 Hz,154,203,147,7,56
CalCurCEAS_004,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_004,Sei DS,3,15,3,0,12
CalCurCEAS_006,Blue A,0,0,0,0,0
CalCurCEAS_006,Blue B,2,2,2,0,0
CalCurCEAS_006,Blue D,1,0,0,1,0
CalCurCEAS_006,Fin 20 Hz,148,149,137,11,12
CalCurCEAS_006,Fin 40 Hz,0,7,0,0,7
CalCurCEAS_006,Sei DS,2,2,2,0,0
CalCurCEAS_009,Blue A,0,0,0,0,0
CalCurCEAS_009,Blue B,79,94,78,1,16
CalCurCEAS_009,Blue D,45,73,45,0,28
CalCurCEAS_009,Fin 20 Hz,168,186,152,16,34
CalCurCEAS_009,Fin 40 Hz,0,8,0,0,8
CalCurCEAS_009,Sei DS,21,30,18,3,12
CalCurCEAS_011,Blue A,0,0,0,0,0
CalCurCEAS_011,Blue B,84,105,84,0,21
CalCurCEAS_011,Blue D,6,9,6,0,3
CalCurCEAS_011,Fin 20 Hz,684,663,571,113,92
CalCurCEAS_011,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_011,Sei DS,33,0,0,33,0
CalCurCEAS_012,Blue A,6,6,6,0,0
CalCurCEAS_012,Blue B,89,144,89,0,55
CalCurCEAS_012,Blue D,0,0,0,0,0
CalCurCEAS_012,Fin 20 Hz,766,992,763,3,229
CalCurCEAS_012,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_012,Sei DS,0,0,0,0,0
CalCurCEAS_013,Blue A,1,9,1,0,8
CalCurCEAS_013,Blue B,43,106,43,0,63
CalCurCEAS_013,Blue D,0,0,0,0,0
CalCurCEAS_013,Fin 20 Hz,41,88,40,1,48
CalCurCEAS_013,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_013,Sei DS,0,0,0,0,0
CalCurCEAS_015,Blue A,1,1,1,0,0
CalCurCEAS_015,Blue B,109,165,109,0,56
CalCurCEAS_015,Blue D,5,9,5,0,4
CalCurCEAS_015,Fin 20 Hz,460,675,456,4,219
CalCurCEAS_015,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_015,Sei DS,5,6,5,0,1
CalCurCEAS_016,Blue A,1,1,1,0,0
CalCurCEAS_016,Blue B,58,78,58,0,20
CalCurCEAS_016,Blue D,3,6,3,0,3
CalCurCEAS_016,Fin 20 Hz,18,24,16,2,8
CalCurCEAS_016,Fin 40 Hz,0,2,0,0,2
CalCurCEAS_016,Sei DS,2,0,0,2,0
CalCurCEAS_017,Blue A,3,3,3,0,0
CalCurCEAS_017,Blue B,59,64,56,3,8
CalCurCEAS_017,Blue D,8,11,8,0,3
CalCurCEAS_017,Fin 20 Hz,21,18,17,4,1
CalCurCEAS_017,Fin 40 Hz,1,1,1,0,0
CalCurCEAS_017,Sei DS,10,13,10,0,3
CalCurCEAS_018,Blue A,0,0,0,0,0
CalCurCEAS_018,Blue B,101,116,97,4,19
CalCurCEAS_018,Blue D,5,5,5,0,0
CalCurCEAS_018,Fin 20 Hz,14,15,14,0,1
CalCurCEAS_018,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_018,Sei DS,49,134,49,0,85
CalCurCEAS_020,Blue A,35,35,35,0,0
CalCurCEAS_020,Blue B,376,498,374,2,124
CalCurCEAS_020,Blue D,2,4,2,0,2
CalCurCEAS_020,Fin 20 Hz,708,917,689,19,228
CalCurCEAS_020,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_020,Sei DS,21,28,16,5,12
CalCurCEAS_021,Blue A,46,46,46,0,0
CalCurCEAS_021,Blue B,250,354,250,0,104
CalCurCEAS_021,Blue D,5,12,5,0,7
CalCurCEAS_021,Fin 20 Hz,1152,1727,1148,4,579
CalCurCEAS_021,Fin 40 Hz,1,8,1,0,7
CalCurCEAS_021,Sei DS,24,38,22,2,16
CalCurCEAS_022,Blue A,8,8,8,0,0
CalCurCEAS_022,Blue B,450,570,433,17,137
CalCurCEAS_022,Blue D,2,7,2,0,5
CalCurCEAS_022,Fin 20 Hz,75,136,75,0,61
CalCurCEAS_022,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_022,Sei DS,53,84,50,3,34
CalCurCEAS_023,Blue A,38,38,38,0,0
CalCurCEAS_023,Blue B,405,644,397,8,247
CalCurCEAS_023,Blue D,12,20,10,2,10
CalCurCEAS_023,Fin 20 Hz,231,375,229,2,146
CalCurCEAS_023,Fin 40 Hz,0,0,0,0,0
CalCurCEAS_023,Sei DS,16,45,15,1,30
CalCurCEAS_024,Blue A,20,19,19,1,0
CalCurCEAS_024,Blue B,319,467,319,0,148
CalCurCEAS_024,Blue D,7,8,7,0,1
CalCurCEAS_024,Fin 20 Hz,1101,1663,1098,3,565
CalCurCEAS_024,Fin 40 Hz,1,22,0,1,22
CalCurCEAS_024,Sei DS,19,29,15,4,14
CalCurCEAS_025,Blue A,90,96,90,0,6
CalCurCEAS_025,Blue B,409,748,409,0,339
CalCurCEAS_025,Blue D,3,2,2,1,0
CalCurCEAS_025,Fin 20 Hz,2898,3436,2879,19,557
CalCurCEAS_025,Fin 40 Hz,8,67,5,3,62
