"","drift","id","species","numClicks","medPeakFrq"
"5","CalCurCEAS_003","7517.240820204200.wav","",931,6
"123","CalCurCEAS_003","7517.240821083000.wav","",231,6
"134","CalCurCEAS_003","7517.240821093600.wav","",247,12.4
"135","CalCurCEAS_003","7517.240821094200.wav","",308,12.4
"137","CalCurCEAS_003","7517.240821095400.wav","",1053,6.8
"138","CalCurCEAS_003","7517.240821100000.wav","",1791,12.4
"139","CalCurCEAS_003","7517.240821100600.wav","",1389,12.8
"140","CalCurCEAS_003","7517.240821101200.wav","",1343,12.4
"141","CalCurCEAS_003","7517.240821101800.wav","",885,6.8
"143","CalCurCEAS_003","7517.240821103000.wav","",665,6
"144","CalCurCEAS_003","7517.240821103600.wav","",794,12
"313","CalCurCEAS_003","7517.240822033000.wav","",230,6
"315","CalCurCEAS_003","7517.240822034200.wav","",313,6.4
"325","CalCurCEAS_003","7517.240822044200.wav","",290,6.4
"326","CalCurCEAS_003","7517.240822044800.wav","",220,6
"331","CalCurCEAS_003","7517.240822051800.wav","",282,6.4
"332","CalCurCEAS_003","7517.240822052400.wav","",244,7.2
"333","CalCurCEAS_003","7517.240822053000.wav","",305,6.4
"334","CalCurCEAS_003","7517.240822053600.wav","",318,6
"335","CalCurCEAS_003","7517.240822054200.wav","",399,6.8
"337","CalCurCEAS_003","7517.240822055400.wav","",232,6.4
"340","CalCurCEAS_003","7517.240822061200.wav","",482,6.4
"341","CalCurCEAS_003","7517.240822061800.wav","",275,7.6
"342","CalCurCEAS_003","7517.240822062400.wav","",346,7.2
"343","CalCurCEAS_003","7517.240822063000.wav","",348,7.2
"344","CalCurCEAS_003","7517.240822063600.wav","",362,7.2
"345","CalCurCEAS_003","7517.240822064200.wav","",370,6
"346","CalCurCEAS_003","7517.240822064800.wav","",564,7.2
"347","CalCurCEAS_003","7517.240822065400.wav","",292,6.4
"349","CalCurCEAS_003","7517.240822070600.wav","",580,6
"350","CalCurCEAS_003","7517.240822071200.wav","",1236,6.4
"351","CalCurCEAS_003","7517.240822071800.wav","",979,6.8
"352","CalCurCEAS_003","7517.240822072400.wav","",759,6.8
"353","CalCurCEAS_003","7517.240822073000.wav","",898,6.8
"354","CalCurCEAS_003","7517.240822073600.wav","",964,7.2
"355","CalCurCEAS_003","7517.240822074200.wav","",1260,7.2
"356","CalCurCEAS_003","7517.240822074800.wav","",1064,6.4
"359","CalCurCEAS_003","7517.240822080600.wav","",973,6.4
"360","CalCurCEAS_003","7517.240822081200.wav","",862,7.6
"361","CalCurCEAS_003","7517.240822081800.wav","",936,7.2
"362","CalCurCEAS_003","7517.240822082400.wav","",786,7.6
"363","CalCurCEAS_003","7517.240822083000.wav","",1108,7.6
"364","CalCurCEAS_003","7517.240822083600.wav","",1192,7.6
"365","CalCurCEAS_003","7517.240822084200.wav","",1649,7.2
"366","CalCurCEAS_003","7517.240822084800.wav","",1038,7.2
"367","CalCurCEAS_003","7517.240822085400.wav","",246,6.4
"369","CalCurCEAS_003","7517.240822090600.wav","",822,6
"370","CalCurCEAS_003","7517.240822091200.wav","",1361,7.2
"371","CalCurCEAS_003","7517.240822091800.wav","",1635,7.6
"372","CalCurCEAS_003","7517.240822092400.wav","",1263,7.2
"373","CalCurCEAS_003","7517.240822093000.wav","",1055,8
"374","CalCurCEAS_003","7517.240822093600.wav","",307,8.4
"375","CalCurCEAS_003","7517.240822094200.wav","",814,7.2
"376","CalCurCEAS_003","7517.240822094800.wav","",310,6
"378","CalCurCEAS_003","7517.240822100000.wav","",751,6
"379","CalCurCEAS_003","7517.240822100600.wav","",1278,7.2
"380","CalCurCEAS_003","7517.240822101200.wav","",567,7.2
"381","CalCurCEAS_003","7517.240822101800.wav","",650,7.2
"382","CalCurCEAS_003","7517.240822102400.wav","",918,6.8
"383","CalCurCEAS_003","7517.240822103000.wav","",917,7.2
