deployment,call_type,original_detections,reviewed_truth_calls,true_positive,false_positive,false_negative,precision,recall,f1_score
CalCurCEAS_001,Blue A,0,0,0,0,0,,,
CalCurCEAS_001,Blue B,1,2,1,0,1,1,0.5,0.667
CalCurCEAS_001,Blue D,0,0,0,0,0,,,
CalCurCEAS_001,Fin 20 Hz,36,25,23,13,2,0.639,0.92,0.754
CalCurCEAS_001,Fin 40 Hz,1,0,0,1,0,0,,
CalCurCEAS_001,Sei DS,2,0,0,2,0,0,,
CalCurCEAS_002,Blue A,0,0,0,0,0,,,
CalCurCEAS_002,Blue B,0,0,0,0,0,,,
CalCurCEAS_002,Blue D,0,0,0,0,0,,,
CalCurCEAS_002,Fin 20 Hz,157,173,133,24,40,0.847,0.769,0.806
CalCurCEAS_002,Fin 40 Hz,0,0,0,0,0,,,
CalCurCEAS_002,Sei DS,2,4,2,0,2,1,0.5,0.667
CalCurCEAS_004,Blue A,0,0,0,0,0,,,
CalCurCEAS_004,Blue B,0,1,0,0,1,,0,
CalCurCEAS_004,Blue D,0,0,0,0,0,,,
CalCurCEAS_004,Fin 20 Hz,154,203,147,7,56,0.955,0.724,0.824
CalCurCEAS_004,Fin 40 Hz,0,0,0,0,0,,,
CalCurCEAS_004,Sei DS,3,15,3,0,12,1,0.2,0.333
CalCurCEAS_006,Blue A,0,0,0,0,0,,,
CalCurCEAS_006,Blue B,2,2,2,0,0,1,1,1
CalCurCEAS_006,Blue D,1,0,0,1,0,0,,
CalCurCEAS_006,Fin 20 Hz,148,149,137,11,12,0.926,0.919,0.923
CalCurCEAS_006,Fin 40 Hz,0,7,0,0,7,,0,
CalCurCEAS_006,Sei DS,2,2,2,0,0,1,1,1
CalCurCEAS_009,Blue A,0,0,0,0,0,,,
CalCurCEAS_009,Blue B,79,94,78,1,16,0.987,0.83,0.902
CalCurCEAS_009,Blue D,45,73,45,0,28,1,0.616,0.763
CalCurCEAS_009,Fin 20 Hz,168,186,152,16,34,0.905,0.817,0.859
CalCurCEAS_009,Fin 40 Hz,0,8,0,0,8,,0,
CalCurCEAS_009,Sei DS,21,30,18,3,12,0.857,0.6,0.706
CalCurCEAS_011,Blue A,0,0,0,0,0,,,
CalCurCEAS_011,Blue B,84,105,84,0,21,1,0.8,0.889
CalCurCEAS_011,Blue D,6,9,6,0,3,1,0.667,0.8
CalCurCEAS_011,Fin 20 Hz,684,663,571,113,92,0.835,0.861,0.848
CalCurCEAS_011,Fin 40 Hz,0,0,0,0,0,,,
CalCurCEAS_011,Sei DS,33,0,0,33,0,0,,
