deployment,hour_start_utc,latitude,longitude,geographic_zone,usable_audio_minutes,blue_a_detections,blue_b_detections,fin_20hz_detections,gebco_bathymetry_m,sst_c,chlorophyll_a,phytoplankton_carbon,poc,npp_concurrent,npp_concurrent_source_date,npp_lag_30d,npp_lag_30d_source_date,npp_lag_60d,npp_lag_60d_source_date,npp_lag_90d,npp_lag_90d_source_date,npp_lag_120d,npp_lag_120d_source_date
CalCurCEAS_001,2024-08-17T19:00:00Z,46.878789,-126.153888,Columbia River,60.000417,0,0,1,-2592,18.09,,,,,8/17/2024,,7/18/2024,,6/18/2024,773.1455688,5/19/2024,412.249176,4/19/2024
CalCurCEAS_001,2024-08-17T20:00:00Z,46.877185,-126.150977,Columbia River,60.000375,0,0,0,-2592,18.09,,,,,8/17/2024,,7/18/2024,,6/18/2024,773.1455688,5/19/2024,412.249176,4/19/2024
CalCurCEAS_001,2024-08-17T21:00:00Z,46.874199,-126.148461,Columbia River,60.0005,0,0,0,-2594,18.098,,,,,8/17/2024,,7/18/2024,,6/18/2024,,5/19/2024,371.8538513,4/19/2024
CalCurCEAS_001,2024-08-17T22:00:00Z,46.871615,-126.146486,Columbia River,60.00025,0,0,0,-2594,18.098,,,,,8/17/2024,,7/18/2024,,6/18/2024,,5/19/2024,371.8538513,4/19/2024
CalCurCEAS_001,2024-08-17T23:00:00Z,46.869743,-126.144387,Columbia River,60.000458,0,0,0,-2595,18.093,,,,,8/17/2024,,7/18/2024,,6/18/2024,,5/19/2024,371.8538513,4/19/2024
CalCurCEAS_001,2024-08-18T00:00:00Z,46.86879,-126.145202,Columbia River,60.000333,0,0,7,-2595,17.804,,,,,8/18/2024,,7/19/2024,,6/19/2024,,5/20/2024,674.2056885,4/20/2024
CalCurCEAS_001,2024-08-18T01:00:00Z,46.869113,-126.145397,Columbia River,60.000417,0,0,0,-2595,17.804,,,,,8/18/2024,,7/19/2024,,6/19/2024,,5/20/2024,674.2056885,4/20/2024
CalCurCEAS_001,2024-08-18T02:00:00Z,46.870674,-126.1459,Columbia River,60.000333,0,1,0,-2594,17.804,,,,,8/18/2024,,7/19/2024,,6/19/2024,,5/20/2024,674.2056885,4/20/2024
CalCurCEAS_001,2024-08-18T03:00:00Z,46.873474,-126.144675,Columbia River,60.000417,0,0,0,-2595,17.806,,,,,8/18/2024,,7/19/2024,,6/19/2024,,5/20/2024,674.2056885,4/20/2024
CalCurCEAS_001,2024-08-18T04:00:00Z,46.876547,-126.142565,Columbia River,60.00025,0,0,0,-2595,17.797,,,,,8/18/2024,,7/19/2024,,6/19/2024,,5/20/2024,660.6331177,4/20/2024
