deployment,hour_start_utc,latitude,longitude,geographic_zone,usable_audio_minutes,blue_a_count,blue_b_count,fin_20hz_count
CalCurCEAS_001,2024-08-17 19:00:00,46.87878917,-126.15388833,Columbia River,60.000417,0,0,1
CalCurCEAS_001,2024-08-17 19:59:59,46.87718458,-126.15097667,Columbia River,60.000375,0,0,0
CalCurCEAS_001,2024-08-17 21:00:00,46.87419875,-126.14846083,Columbia River,60.0005,0,0,0
CalCurCEAS_001,2024-08-17 22:00:00,46.871615,-126.14648625,Columbia River,60.00025,0,0,0
CalCurCEAS_001,2024-08-17 22:59:59,46.86974333,-126.14438708,Columbia River,60.000458,0,0,0
CalCurCEAS_001,2024-08-18 00:00:00,46.86878958,-126.1452025,Columbia River,60.000333,0,0,7
CalCurCEAS_001,2024-08-18 01:00:00,46.86911263,-126.14539684,Columbia River,60.000417,0,0,0
CalCurCEAS_001,2024-08-18 01:59:59,46.87067391,-126.14590043,Columbia River,60.000333,0,1,0
CalCurCEAS_001,2024-08-18 03:00:00,46.87347417,-126.14467458,Columbia River,60.000417,0,0,0
CalCurCEAS_001,2024-08-18 04:00:00,46.87654708,-126.14256542,Columbia River,60.00025,0,0,0
CalCurCEAS_001,2024-08-18 04:59:59,46.87941708,-126.13896583,Columbia River,60.000417,0,0,0
CalCurCEAS_001,2024-08-18 06:00:00,46.88167083,-126.13441625,Columbia River,60.000333,0,0,0
CalCurCEAS_001,2024-08-18 07:00:00,46.88334208,-126.12958625,Columbia River,60.000458,0,0,0
CalCurCEAS_001,2024-08-18 07:59:59,46.88307,-126.1257525,Columbia River,60.000292,0,0,3
CalCurCEAS_001,2024-08-18 09:00:00,46.88046333,-126.12300792,Columbia River,60.00025,0,2,0
CalCurCEAS_001,2024-08-18 10:00:00,46.87779167,-126.12211542,Columbia River,60.000375,0,0,0
CalCurCEAS_001,2024-08-18 10:59:59,46.87638292,-126.12130583,Columbia River,60.000417,0,0,0
CalCurCEAS_001,2024-08-18 12:00:00,46.87531917,-126.12001125,Columbia River,60.0005,0,0,0
CalCurCEAS_001,2024-08-18 13:00:00,46.87537042,-126.1187725,Columbia River,60.000208,0,0,1
CalCurCEAS_001,2024-08-18 13:59:59,46.8761713,-126.1165213,Columbia River,60.000458,0,0,0
CalCurCEAS_001,2024-08-18 15:00:00,46.87864625,-126.11276292,Columbia River,60.000375,0,0,0
CalCurCEAS_001,2024-08-18 16:00:00,46.88162125,-126.10771833,Columbia River,60.000458,0,0,0
CalCurCEAS_001,2024-08-18 16:59:59,46.88443125,-126.10263042,Columbia River,60.0005,0,0,1
CalCurCEAS_001,2024-08-18 18:00:00,46.8872925,-126.09698417,Columbia River,60.0005,0,0,2
CalCurCEAS_001,2024-08-18 19:00:00,46.88959478,-126.09067348,Columbia River,60.0005,0,0,0
CalCurCEAS_001,2024-08-18 19:59:59,46.89031667,-126.08636125,Columbia River,60.000417,0,0,0
CalCurCEAS_001,2024-08-18 21:00:00,46.89003542,-126.08421458,Columbia River,59.979667,0,0,1
CalCurCEAS_001,2024-08-18 22:00:00,46.88966792,-126.08448542,Columbia River,60.000417,0,0,0
CalCurCEAS_001,2024-08-18 22:59:59,46.89115588,-126.08486294,Columbia River,60.000333,0,0,0
CalCurCEAS_001,2024-08-19 00:00:00,46.89442391,-126.08377609,Columbia River,60.000375,0,0,0
CalCurCEAS_001,2024-08-19 01:00:00,46.89821583,-126.08188708,Columbia River,60.000375,0,0,0
