deployment,hour_start_utc,hour_end_utc,latitude,longitude,position_source,geographic_zone,recorded_audio_minutes,bad_data_overlap_minutes,validated_analysis_hour,exclusion_reason,blue_a_present,blue_b_present,blue_d_present,fin_20hz_present,fin_40hz_present,sei_ds_present,blue_whale_present,fin_whale_present,sei_whale_present
CalCurCEAS_001,2024-08-17T19:00:00Z,2024-08-17T20:00:00Z,46.878789,-126.153888,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,1,0,0,0,1,0
CalCurCEAS_001,2024-08-17T20:00:00Z,2024-08-17T21:00:00Z,46.877185,-126.150977,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-17T21:00:00Z,2024-08-17T22:00:00Z,46.874199,-126.148461,observed,Columbia River,60.001,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-17T22:00:00Z,2024-08-17T23:00:00Z,46.871615,-126.146486,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-17T23:00:00Z,2024-08-18T00:00:00Z,46.869743,-126.144387,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T00:00:00Z,2024-08-18T01:00:00Z,46.868790,-126.145202,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,1,0,0,0,1,0
CalCurCEAS_001,2024-08-18T01:00:00Z,2024-08-18T02:00:00Z,46.869113,-126.145397,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T02:00:00Z,2024-08-18T03:00:00Z,46.870674,-126.145900,observed,Columbia River,60.000,0.000,TRUE,,0,1,0,0,0,0,1,0,0
CalCurCEAS_001,2024-08-18T03:00:00Z,2024-08-18T04:00:00Z,46.873474,-126.144675,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T04:00:00Z,2024-08-18T05:00:00Z,46.876547,-126.142565,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T05:00:00Z,2024-08-18T06:00:00Z,46.879417,-126.138966,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T06:00:00Z,2024-08-18T07:00:00Z,46.881671,-126.134416,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T07:00:00Z,2024-08-18T08:00:00Z,46.883342,-126.129586,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T08:00:00Z,2024-08-18T09:00:00Z,46.883070,-126.125753,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,1,0,0,0,1,0
CalCurCEAS_001,2024-08-18T09:00:00Z,2024-08-18T10:00:00Z,46.880463,-126.123008,observed,Columbia River,60.000,0.000,TRUE,,0,1,0,0,0,0,1,0,0
CalCurCEAS_001,2024-08-18T10:00:00Z,2024-08-18T11:00:00Z,46.877792,-126.122115,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T11:00:00Z,2024-08-18T12:00:00Z,46.876383,-126.121306,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T12:00:00Z,2024-08-18T13:00:00Z,46.875319,-126.120011,observed,Columbia River,60.001,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T13:00:00Z,2024-08-18T14:00:00Z,46.875370,-126.118773,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,1,0,0,0,1,0
CalCurCEAS_001,2024-08-18T14:00:00Z,2024-08-18T15:00:00Z,46.876171,-126.116521,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T15:00:00Z,2024-08-18T16:00:00Z,46.878646,-126.112763,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T16:00:00Z,2024-08-18T17:00:00Z,46.881621,-126.107718,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T17:00:00Z,2024-08-18T18:00:00Z,46.884431,-126.102630,observed,Columbia River,60.001,0.000,TRUE,,0,0,0,1,0,0,0,1,0
CalCurCEAS_001,2024-08-18T18:00:00Z,2024-08-18T19:00:00Z,46.887293,-126.096984,observed,Columbia River,60.001,0.000,TRUE,,0,0,0,1,0,0,0,1,0
CalCurCEAS_001,2024-08-18T19:00:00Z,2024-08-18T20:00:00Z,46.889595,-126.090673,observed,Columbia River,60.001,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T20:00:00Z,2024-08-18T21:00:00Z,46.890317,-126.086361,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T21:00:00Z,2024-08-18T22:00:00Z,46.890035,-126.084215,observed,Columbia River,59.980,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T22:00:00Z,2024-08-18T23:00:00Z,46.889668,-126.084485,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-18T23:00:00Z,2024-08-19T00:00:00Z,46.891156,-126.084863,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-19T00:00:00Z,2024-08-19T01:00:00Z,46.894424,-126.083776,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-19T01:00:00Z,2024-08-19T02:00:00Z,46.898216,-126.081887,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-19T02:00:00Z,2024-08-19T03:00:00Z,46.902559,-126.078154,observed,Columbia River,60.001,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-19T03:00:00Z,2024-08-19T04:00:00Z,46.906823,-126.073176,observed,Columbia River,60.001,0.000,TRUE,,0,0,0,0,0,0,0,0,0
CalCurCEAS_001,2024-08-19T04:00:00Z,2024-08-19T05:00:00Z,46.911372,-126.067739,observed,Columbia River,60.000,0.000,TRUE,,0,0,0,1,0,0,0,1,0
