call_metric,geographic_zone,activity_category,high_call_threshold,category_hours,environmental_variable,units,n_available,median,q25,q75
Blue A/B,Northern California,high_call,5,177,gebco_bathymetry_m,m,177,-3080,-3171,-1124
Blue A/B,Northern California,high_call,5,177,sst_c,deg_C,177,15.189,13.402,16.546
Blue A/B,Northern California,high_call,5,177,chlorophyll_a,mg_m-3,123,0.658201158,0.5676708815,0.8417361375
Blue A/B,Northern California,high_call,5,177,phytoplankton_carbon,mg_m-3,123,40.18890381,34.52432251,44.99072266
Blue A/B,Northern California,high_call,5,177,poc,mg_m-3,123,142.7998047,128.5,169.5998535
Blue A/B,Northern California,high_call,5,177,npp_concurrent,mg_C_m-2_d-1,126,789.4076233000001,680.7670898,866.2015381
Blue A/B,Northern California,high_call,5,177,npp_lag_30d,mg_C_m-2_d-1,42,670.0368042,667.7471313,678.1729126
Blue A/B,Northern California,high_call,5,177,npp_lag_60d,mg_C_m-2_d-1,39,761.4703979,630.762207,918.6525879
Blue A/B,Northern California,high_call,5,177,npp_lag_90d,mg_C_m-2_d-1,123,652.3760986,605.9633179,723.5491638
Blue A/B,Northern California,high_call,5,177,npp_lag_120d,mg_C_m-2_d-1,44,716.0004272,700.3295898,843.81297305
Blue A/B,Northern California,low_call,5,286,gebco_bathymetry_m,m,286,-3130.5,-4187,-2644.25
Blue A/B,Northern California,low_call,5,286,sst_c,deg_C,286,16.1745,15.19,16.83
Blue A/B,Northern California,low_call,5,286,chlorophyll_a,mg_m-3,133,0.636013567,0.376097918,0.802490652
Blue A/B,Northern California,low_call,5,286,phytoplankton_carbon,mg_m-3,133,40.23125839,31.72317505,45.57423782
Blue A/B,Northern California,low_call,5,286,poc,mg_m-3,133,139.3999023,96.60009766,163.6000977
Blue A/B,Northern California,low_call,5,286,npp_concurrent,mg_C_m-2_d-1,143,685.9769897,637.62231445,803.5668335
Blue A/B,Northern California,low_call,5,286,npp_lag_30d,mg_C_m-2_d-1,39,676.0142212,657.0993042,783.5285034
Blue A/B,Northern California,low_call,5,286,npp_lag_60d,mg_C_m-2_d-1,42,619.1119994999999,587.8088989,745.58283995
Blue A/B,Northern California,low_call,5,286,npp_lag_90d,mg_C_m-2_d-1,126,713.2390137,614.7281494,738.7296753
Blue A/B,Northern California,low_call,5,286,npp_lag_120d,mg_C_m-2_d-1,76,700.3295898,646.9873047,843.0797729
Blue A/B,Northern California,no_call,5,194,gebco_bathymetry_m,m,194,-3127,-4208.25,-2596.5
Blue A/B,Northern California,no_call,5,194,sst_c,deg_C,194,16.459,15.1965,16.99825
Blue A/B,Northern California,no_call,5,194,chlorophyll_a,mg_m-3,83,0.658201158,0.427058518,0.899588466
Blue A/B,Northern California,no_call,5,194,phytoplankton_carbon,mg_m-3,83,37.6353302,26.131513595,44.75040817
Blue A/B,Northern California,no_call,5,194,poc,mg_m-3,83,142.7998047,104.69995115,177.6000977
Blue A/B,Northern California,no_call,5,194,npp_concurrent,mg_C_m-2_d-1,89,669.8894653,618.8444214,813.8980103
Blue A/B,Northern California,no_call,5,194,npp_lag_30d,mg_C_m-2_d-1,53,673.6986084,656.8884277,775.067627
Blue A/B,Northern California,no_call,5,194,npp_lag_60d,mg_C_m-2_d-1,26,630.762207,596.3531799,639.8800049
Blue A/B,Northern California,no_call,5,194,npp_lag_90d,mg_C_m-2_d-1,81,614.7281494,573.3277588,722.6110229
